body,title,url
"

Mientras en países como Perú, Ecuador, Argentina, Colombia y Brasil, altos funcionarios gubernamentales han sido encarcelados o están sujetos a juicio penal por el caso Odebrecht, en México, de las cinco personas relacionadas a la red de corrupción de la constructora brasileña, sólo una está vinculada a proceso pero ninguna está en la cárcel.

De esas cinco personas, contra las que existen órdenes de aprehensión, sólo uno es exfuncionario gubernamental: Emilio Lozoya Austin, director de Petróleos Mexicanos (Pemex) durante el sexenio de Enrique Peña Nieto y a quien, por Odebrecht, se le acusa de lavado de dinero, asociación delictuosa y cohecho.

Aunque Lozoya Austin llegó a México el pasado 17 de julio, extraditado desde España, la Fiscalía General de la República (FGR) no lo ha puesto a disposición del juez en el Centro de Justicia Penal Federal en el Reclusorio Norte que lo requiere, pues por razones médicas fue internado en el Hospital Ángeles del Pedregal.

También existen órdenes de aprehensión en contra de su mamá, Gilda Margarita Austin y Solís; su hermana, Gilda Susana Lozoya Austin; su esposa, Helene Marielle Eckes y de Nelly Maritza Aguilera Concha, por asociación delictuosa y lavado de dinero.

De todas ellas, sólo Gilda Margarita Austin, de 71 años, fue detenida en julio de 2019 en Alemania, extraditada en noviembre de ese año y al pisar suelo mexicano, la FGR la presentó ante el juez de Control, quien la vinculó a proceso por asociación delictuosa y lavado de dinero por más de 7 millones de pesos.

Sin embargo, la mamá de Lozoya Austin no se encuentra en la cárcel, pues su defensa logró que el juez le decretara arraigo domiciliario.

De acuerdo con la causa penal 261/2017, la mamá de Lozoya Austin es señalada por recibir 185 mil dólares provenientes de los supuestos sobornos que Odebrecht entregó al exdirector de Pemex a cambio de contratos de obra pública.

Su hermana, su esposa y Nelly Maritza Aguilera Concha permanecen prófugas. A la primera, la FGR la señala por recibir en sus cuentas bancarias dinero de los sobornos de la empresa brasileña Odebrecht.

A Helene Marielle se le acusa de utilizar un millón 200 mil dólares para adquirir una casa en Ixtapa-Zihuatanejo, Guerrero, que se presume provienen de los sobornos.

Dicho dinero fue pagado a Nelly Maritza Aguilera Concha, quien aparece en el contrato de compraventa como vendedora del inmueble de Ixtapa, razón por la que también se le relacionó con el blanqueo de los recursos de Odebrecht.

Ayer, en videoconferencia organizada por el Instituto Nacional de Ciencias Penales (Inacipe), el subsecretario de Gobierno de la Secretaría de Gobernación (Segob), Ricardo Peralta, destacó que el caso Odebrecht es un ejemplo emblemático de corrupción y reprochó que en México sólo un exfuncionario ha sido señalado por el caso: Emilio Lozoya.

El subsecretario confió en que los testimonios de Lozoya Austin permitirán conocer quiénes estuvieron involucrados en la red de corrupción de la constructora brasileña.

Uno de los casos emblemáticos relacionados con la corrupción es el de la empresa Odebrecht, la constructora brasileña donde están implicados más de nueve países, incluidos varios de América Latina, dijo.

“En este momento no hay más personas implicadas [además de Emilio Lozoya], cuando en prácticamente todos los países no sólo hubo personas involucradas, sino sentenciadas por estos hechos de Odebrecht”, subrayó.

Van por comparecencias

La FGR busca citar a comparecer a los exintegrantes del Consejo de Administración de Pemex por el caso Agro Nitrogenados.

Fuentes federales confirmaron que la fiscalía solicitará la comparecencia de los exsecretarios: Ildefonso Guajardo, de Economía; Pedro Joaquín Coldwell, de Energía, y Luis Videgaray, de Hacienda y Crédito Público, para entrevistarlos sobre la compra irregular de la planta de fertilizantes Agro Nitrogenados.

Por este caso, hay órdenes de aprehensión contra Alonso Ancira, dueño de Altos Hornos México, S. A. (AHMSA), empresa que vendió Agro Nitrogenados a Pemex, supuestamente a sobreprecio, y contra el exdirector de la petrolera, Lozoya Austin.

Ancira Elizondo está sujeto a proceso de extradición en España y Lozoya Austin fue extraditado el pasado 17 de julio y se encuentra hospitalizado por un cuadro de anemia.

De acuerdo con fuentes consultadas, el Ministerio Público de la Federación busca citar a comparecer a los exintegrantes del Consejo de Pemex que podrían haber autorizado la compraventa de la planta de fertilizantes pese a las advertencias de que llevaba 14 años inactiva.
",Ningún implicado en el caso Odebrecht en México está preso,<bound method ArticlePage.url of <news_page_objects.ArticlePage object at 0x03C76028>>
"

Cercanos al exdirector de Pemex Emilio Lozoya Austin nos confirman que ayer fue sometido a una cirugía en el hospital en el que se encuentra internado “en calidad de detenido”, tras su llegada al país luego de haber sido entregado en extradición por el gobierno de España. Don Emilio, nos comentan, ha sido intervenido quirúrgicamente por una hernia hiatal. El exfuncionario, nos mencionan, padece de esófago de Barrett, que se ha agudizado en los últimos meses en los que ha estado privado de la libertad. Paralelamente, nos explican, es atendido también para tratar un cuadro de anemia aguda. Todo indica que Lozoya pasará algunos días más hospitalizado, por lo que hasta el día de hoy, a diferencia de otros países, en México ningún exfuncionario público ha pisado la cárcel a consecuencia de su participación en la trama de corrupción del caso Odebrecht. Y quizás para cuando llegue el día que el extraditado declare, cante y presente la información que algunos aseguran que posee, uno que otro funcionario y exfuncionario ya no tendrán uñas y estarán con los pelos de punta...

El futuro de Jiménez Espriú

Aunque él ha dicho que el Presidente siempre debe estar bien enterado, el propio mandatario, Andrés Manuel López Obrador, dejó ver ayer que hay una excepción de la regla. Cuando se le preguntó si era real la versión de que el secretario de Comunicaciones y Transportes había renunciado a su cargo por la molestia de entregar las aduanas y puertos a las Fuerzas Armadas, él simplemente se limitó a señalar: “No tengo información certera”. Lo que nos dicen es que la renuncia había sido presentada por el secretario Javier Jiménez Espriú, pero el presidente López Obrador no ha tomado la decisión de aceptarla, para ello, se reunirá hoy o mañana con el aún secretario. Es decir, su futuro está en veremos.

El legítimo derecho al pataleo en Morena

El miércoles, consideran en la bancada de Morena, se estará votando en el pleno de la Cámara de Diputados a los cuatro candidatos idóneos para ser consejeros del Instituto Nacional Electoral (INE), aunque pesa el amago de que se extienda la rebelión para oponerse. Pero si a alguien le quitaba el sueño que esa revuelta tuviera alguna base seria, nos aseguran que no es más que el pleno ejercicio del legítimo derecho al pataleo que tienen algunos miembros de la fracción. De los firmantes que exigen al líder de Morena, Mario Delgado, meter reversa, la más destacada es la morenista Dolores Padierna —quien se la juega para que su amiga Diana Talavera quede en el INE— y Benjamín Robles, del PT. Los demás, nos explican, son semidesconocidos a los que no les caracteriza su trabajo legislativo como para haberse adentrado en las 30 horas de entrevistas que el Comité Técnico de Evaluación hizo a 60 aspirantes, y poder decidir, como reclaman, que los 40 que quedaron fuera son los buenos, y los 20 que entraron son los malos. Nos aseguran que sin importar qué tantas patadas y machincuepas hagan, doña Diana está fuera.

Ejecutivo tiene las manos fuera del Senado, dicen

Ayer le decíamos en esta columna que la carrera por la presidencia del Senado estaba bajo el Poder Ejecutivo y que uno de los aspirantes, el morenistas tabasqueño Ovidio Peralta, es bien visto en Palacio Nacional. Sin embargo, ayer el Grupo Parlamentario de Morena en el Senado dijo, mediante una carta, que todos los senadores y senadoras de esa fracción tienen la plena libertad de ser candidatos para presidir la Mesa. Todos son respetados y ninguno descalificado. Añaden que “respecto a que en Palacio Nacional dicen que no les parece mal algún candidato, se debe aclarar que no existe injerencia de ningún actor político fuera del grupo parlamentario. La decisión le corresponde solamente a las y los senadores de Morena”. Y a todo esto: ¿Don Ovidio se mantendrá en la pelea, o ya se habrá caído?


Artículo


Emilio Lozoya underwent surgery

English


Off the Record features fact-checked news written by journalists and contributors to EL UNIVERSAL 






","Antes de cantar, Lozoya va al quirófano",<bound method ArticlePage.url of <news_page_objects.ArticlePage object at 0x037223E8>>
"En la casa donde José Antonio fue asesinado, había restos de droga y un casquillo, en el Estado de México.
Ayer por la mañana, familiares de la víctima acudieron a su domicilio, en el municipio de Acolman. Eran dos mujeres que habían tratado de contactar a José Antonio y al no recibir respuesta, decidieron visitarlo.
Al llegar a su vivienda, ubicada en el ejido El Calvario, Adriana y Cinthia hallaron al hombre tirado a un costado de una mesa.
Él presentaba una herida en el pecho y sobre el mueble, había restos de droga. Por eso, las testigos pidieron ayuda de los policías municipales y de los paramédicos.
Al llegar al sitio, los rescatistas indicaron a las familiares que José Antonio ya estaba muerto. El balazo que recibió en el cuerpo, fue lo que le provocó la muerte.
Pero las mujeres dijeron desconocer las causas del homicidio. Ellas fueron las encargadas de reconocer el cuerpo del hombre, quien se llamana José Antonio Ruiz Santillán, de 37 años.
Tras ser identificado, el cadáver fue trasladado al anfiteatro de la agencia ministerial en donde se espera que sea reclamado.
",,<bound method ArticlePage.url of <news_page_objects.ArticlePage object at 0x03C69F40>>
"
El atentado contra el titular de la Secretaría de Seguridad Ciudadana, Omar García Harfuch, mostró una gran capacidad de penetración de la delincuencia en la capital del país y de corrupción, dijo el director del Observatorio Nacional Ciudadano (ONC), Francisco Rivas.
 
En conferencia de prensa en donde dio a conocer las cifras de la incidencia delictiva, dijo que evidentemente para el ataque contra el jefe de la Policía capitalina , hubo corrupción en la corporación policiaca, pues los sicarios conocían cuál era la ruta que el pasado 26 de junio usaría García Harfuch.
 
“Su atentado es muy grave por muchos motivos, porque muestra una capacidad de penetración de la delincuencia organizada en la capital, mucho mayor a la que sabíamos.
 
“Para poder ejecutar un atentado de esa naturaleza, no sólo necesitas armas y gente, necesitas dinero, estrategia y un punto de corrupción, es decir, personal comprado que te garantice que puedas llevar a cabo ese atentado, es evidente que lo hubo, porque si no, cómo sabían cuál era la ruta que iba usar esa mañana en específico, el secretario de seguridad”, dijo.
También lee: Ligan a la Anti-Unión al ataque a García Harfuch
 
Comentó que Omar García Harfuch es un policía patriota y que se encuentra haciendo bien las cosas en materia de seguridad en la Ciudad de México.
 
 
lr / cg
",En atentado a García Harfuch hubo corrupción en la SSC: Observatorio Nacional,<bound method ArticlePage.url of <news_page_objects.ArticlePage object at 0x03C436B8>>
" 0 % PULSO SOCIAL0 En urbes en donde la densidad poblacional es alta, cada vez más personas están optando por usar una bicicleta para moverse de un lado a otro con mayor facilidad. Desde febrero, las búsquedas de rutas para bicicleta en Google Maps han dado un salto de 69% alcanzando un máximo histórico el mes pasado. 
Hace 10 años, Google Maps presentó la opción para rutas en bicicleta. Esta función, ahora se encuentra disponible en casi 30 países alrededor del mundo, con millones de personas haciendo uso de ella cada día. Para ofrecer a los usuarios las rutas más actualizadas, Google utiliza una combinación de algoritmos, Aprendizaje Automático y el entendimiento de las condiciones del mundo real basadas en imágenes y datos abiertos gracias a contribuciones por parte de las autoridades gubernamentales y de la comunidad.
El año pasado, Google Maps presentó la función para ayudar a viajeros de algunas ciudades a ubicar estaciones de bicicletas compartidas y saber cuántas bicis están disponibles.
Nueva función de Google revela la identidad y propósito de cada llamada
Hoy, gracias a la estrategia de datos abiertos de la Secretaría de Movilidad de la Ciudad de México (SEMOVI) y la Agencia Digital de Innovación Pública (ADIP), Google Maps y ECOBICI brindarán instrucciones de principio a fin para que las personas usuarias en la Ciudad de México puedan utilizar las bicicletas disponibles cerca de su ubicación. En la Ciudad de México, podrás ir del punto A al B con información de la estación más cercana a ti, la disponibilidad de las bicis, así como la disponibilidad para dejarla al final de tu viaje e instrucciones para llegar a pie a tu destino final.

Google Maps también te ofrecerá un enlace para acceder (o descargar) a la aplicación de Ecobici y así poder consultar el mapa de todas las estaciones y realizar reportes de incidencias. Si aún no cuentas con tu membresía de ECOBICI, puedes inscribirte en www.ecobici.cdmx.gob.mx.
De acuerdo con el Secretario de Movilidad de la Ciudad de México, Andrés Lajous Loaeza: “ECOBICI es el sistema de bicicletas públicas compartidas más importante de América Latina: cuenta con 6,500 bicicletas y 480 cicloestaciones en tres alcaldías, con casi 30,000 viajes diarios en promedio. En 2021, se planea expandir el sistema a, al menos, 10,000 bicicletas con 750 cicloestaciones, ampliando el servicio a nuevas alcaldías. Aunado a esta expansión, la colaboración con Google nos ayudará a facilitar los viajes en bicicleta pública, pues ahora se podrá calcular la ruta y el tiempo de recorrido a tu destino de manera fácil y precisa”.

Te invitamos a descargar Google Maps para Android y iOS para que te muevas en bici por la Ciudad de México. 
VIDEO:

",,<bound method ArticlePage.url of <news_page_objects.ArticlePage object at 0x03E925C8>>
"
La NASA publicó en su observador de asteroides que este 24 de julio pasará cerca de la Tierra un asteroide de más de 150 metros y, según Express, es del tamaño del London Eye, atracción turística de Inglaterra.
El asteroide pasará a 5 millones 570 mil km o, según El Mundo, a 0.05 unidades astronómicas por lo que fue catalogado como “potencialmente peligroso”.
Este cuerpo celeste es llamado 2020 ND y pertenece a la categoría ""Apolo"".
También lee: Sonda japonesa regresará con muestras del asteroide Ryugu
No es el único que pasará cerca de la Tierra estos días. Hoy pasará uno de 120 metros; mañana uno 15 metros y el 23 de julio pasarán dos: uno de 41 y otro de 61 metros.

Recordemos que el que sea ""potencialmente peligroso"" no significa que represente un riesgo de impacto contra el planeta Tierra en este momento, sino a las características que posee y que en en un futuro puede representar una gran alerta. 
Para que un asteroide reciba el calificativo antes mencionado se debe medir su potencial para acercarse de una forma amenazante al planeta. 
De acuerdo con Express, el monitorear este tipo de rocas y actualizar su información permitiría predecir mejor las estadísticas de un acercamiento cercano, a la vez que se podrían emplear algunas medidas a través de un plan. 
También lee: Asteroide que acabó con los dinosaurios tuvo la dirección ""más letal""
De acuerdo con la Sociedad Planetaria, se estima que hay cerca de mil millones de asteroides con un diámetro superior a un metro; siendo los superiores a 30 metros los que pueden causar daños más significativos. 
Lo que diferencia a los asteroides de los meteoritos es que el primero se trata de un cuerpo que forma parte del Cinturón de Asteroides y de la familia de rocas que dan a parar en la Tierra, a diferencia de los meteorito, que son todas aquellas rocas que provienen del espacio y que cayeron en la superficie terrestre. 
nrv
","Un asteroide ""potencialmente peligroso"" pasará cerca de la Tierra este viernes",<bound method ArticlePage.url of <news_page_objects.ArticlePage object at 0x03DFAA90>>
"CHAPULTEPEC.– Daniel Omar fue detenido por el homicidio de una mujer y su hija de 10 años, en este municipio del Estado de México.
El hombre de 34 años fue aprehendido sobre la calle Ponciano Díaz, en Santiago Tianguistenco.
Fue el pasado 26 de abril cuando el acusado acudió a las instalaciones de una empresa gasera del municipio de Chapultepec. Ahí se encontraba la víctima y sus tres hijos.
Después de que el hombre y sus cómplices entraran a la gasera, ubicada en el fraccionamiento Santa Teresa, agredieron a las víctimas.
Los atacantes dispararon contra la mujer y sus tres hijos, de 11, 10 años y 11 meses de nacido.
Antes de escapar, los homicidas incendiaron un vehículo. Las llamas alertaron a los denunciantes que pidieron ayuda para que los paramédicos acudieran al sitio.
Ahí hallaron a la mujer muerta y a sus tres hijos lesionados. Ellos fueron llevados al hospital, donde la niña de 10 años murió.
Daniel fue aprehendido, e ingresado al penal de Tenango del Valle.
",,<bound method ArticlePage.url of <news_page_objects.ArticlePage object at 0x03D5E838>>
"Los restos fósiles de una rara y gigante ave que vivió en Sudamérica hace más de 40 mil años son el más reciente descubrimiento en Ecuador, según informó este lunes la agencia de divulgación científica de la Universidad Nacional de La Matanza, en Argentina.
La especie, bautizada como Asio ecuadoriensis, medía unos 70 centímetros de alto con 1,50 metros de envergadura, y se trataría de un pariente cercano a los lechuzones orejudos, cuyos penachos recuerdan a orejas o cuernos pequeños.
“Consumía especialmente otros tipos de lechuzas, lo que nos muestra que esta lechuza gigante era prácticamente lo que podría llamarse una lechuza caníbal”, dijo Federico Agnolin, coautor de un estudio publicado en la revista científica Journal of Ornithology.
Sus restos fueron hallados entre 2009 y 2012 por el departamento de Biología de la Escuela Politécnica Nacional de Quito, en un yacimiento de fósiles en cenizas volcánicas de entre 20 mil y 42 mil años de antigüedad, en la provincia de Chimborazo, en el centro de Ecuador.
“Actualmente, los páramos en Ecuador se encuentran a más de 40 mil metros de altura, pero en aquel entonces estaban a una altitud mucho menor porque era el final de la Era de Hielo y el clima era mucho más frío”, explicó el paleontólogo José Román Carrión, otro de los autores de la investigación.
Los científicos desconocen la causa por la cual se extinguió el Asio ecuadoriensis, pero lo asocian a una falta de adaptación a los cambios climáticos.
“Pensamos que el cambio climático que ocurrió hace unos 10 mil años, cuando concluyó la Era de Hielo, responsable en parte de la extinción de los grandes mamíferos, también fue responsable de la extinción de estas grandes aves predadoras de las cuales quedan en la actualidad muy pocas especies, como las grandes águilas de las selvas y los cóndores andinos”, puntualizó Agnolin.
",,<bound method ArticlePage.url of <news_page_objects.ArticlePage object at 0x03C43340>>
"
El proceso de construcción europea puede seguir su curso. Por primera vez en la historia del bloque comunitario, los líderes de la Unión Europea se comprometieron a endeudarse colectivamente para sacar adelante a los socios más necesitados a causa de un fenómeno imprevisto, la pandemia por coronavirus.
La misión no fue sencilla, implicó cinco días de intensas negociaciones en las que hubo momentos de fractura.
Al final, los Jefes de Estado y de Gobierno de los Veintisiete llegaron a buenos términos sobre el fondo de estímulo económico para la era post-covid-19.
Estará dotado por la inédita suma de 750 mil millones de euros (suma monumental que equivale al 60% del PIB de España o al 4% de toda la UE), que serán financiados con deuda común, algo nunca antes visto en la trayectoria de la edificación del proyecto común.
Los dineros serán transferidos como subvenciones, 390 mil millones de euros, y créditos, 360 mil millones. Los préstamos serán transferidos durante un periodo de seis años y deberán pagarse a plazos de 25 y 30 años.
La propuesta inicial de la Comisión Europea era más generosa, 500 mil millones a fondo perdido, pero el monto fue reducido por un grupo formado por importantes donantes a las arcas colectivas (Holanda, Suecia, Dinamarca, Austria y Finlandia), y que se empeñó en estrechar lo más posible el rubro de las subvenciones.
Liderado por el primer ministro holandés, Mark Rutte, la bancada además logró introducir lo que se denominó el “súper freno de emergencia”. Se trata de una herramienta que ofrecerá la oportunidad de intervenir si un proyecto no cumple con las condiciones asumidas o un país no implementa las reformas recomendadas.
Cualquier país podrá levantar el dedo, señalar las anomalías y solicitar la detención de los fondos.
La dura posición negociadora de este grupo, también se tradujo en una rebaja en la contribución anual a las arcas colectivas del próximo paquete financiero plurianual, para el periodo 2021 y 2027.
Lee más: Unión Europea autoriza uso de remdesivir contra coronavirus 
Por ejemplo, Holanda consiguió un descuento de 1.9 mil millones en su contribución al Marco Financiero Plurianual (MFP).
El otro gran ganador del maratón fue el primer ministro húngaro, Víktor Orbán, quien logó diluir al máximo la propuesta de vincular los fondos al respeto del Estado de Derecho. El texto adoptado solo se limita a subrayar la importancia de respetar los valores amparados por el Artículo 2 de los Tratados, sin precisar el eventual establecimiento de un mecanismo de control.
Al amanecer de este martes, el presidente del Consejo Europeo, Charles Michel, apareció ante las cámaras para decir: “lo logramos, Europa es fuerte, está unida. Es el acuerdo que requiere Europa en este momento”.
A partir de ese instante, las declaraciones emergieron una tras otra resaltando la trascendencia de un acuerdo que incluyó además la definición del MFP.
Cada uno de los líderes salió a venderlo sin escatimar halagos. El presidente francés Emmanuel Macron, uno de los principales impulsores del fondo de rescate, junto con la Canciller alemana, Angela Merkel, calificó el resultado como “un día histórico para Europa”.
Pedro Sánchez, presidente del Gobierno de España, uno de los mayores beneficiarios del plan económico, recibirá 140 mil millones, se manifestó en los mismos términos: “alcanzamos un verdadero Plan Marshall. Estamos realmente ante un hito, el inicio de un nuevo capítulo de la construcción europea, ante una de las páginas más brillantes, de mayor luz de la construcción europea”.
En la misma sintonía habló Giuseppe Conte, primer Mministro de Italia, uno de los países que adoptaron las medidas más rigurosas de confinamiento para frenar al Covid-19, y que será destino del 28% de los fondos, 209 mil millones, de los cuales 81 millones a título de subsidio.
“El plan de relanzamiento es ambicioso, adecuado a las necesidades que estamos viviendo y nos permitirá afrontar esta crisis con fuerza y eficacia”, declaró el líder italiano.
El texto pactado todavía tiene que recibir el visto bueno del Parlamento Europeo, en donde hay preocupación por la deriva autoritaria en países como Hungría y Polonia. La Eurocámara además reclamaba un presupuesto plurianual mucho más ambicioso para combatir el cambio climático, promover la innovación y fortalecer a Europa en el mundo.
lsm/fml
 
","“Lo logramos. Europa está fuerte y unida”, dice UE tras histórico acuerdo",<bound method ArticlePage.url of <news_page_objects.ArticlePage object at 0x00E76040>>
"
El Congreso se encuentra trabajando en el segundo paquete de estímulo para ayudar a los millones de estadounidenses afectados por la pandemia que azotó el país desde inicios de marzo. 

Si bien los demócratas de la Cámara de Representantes ya aprobaron la Ley HEROES para otorgar una segunda ronda de controles de estímulo, el Senado todavía no emite su voto definitivo y ha estado considerando varias propuestas para ayudar a los ciudadanos bajo el presupuesto de $3 billones de dólares, superior a los $2.2 billones aprobados en La Ayuda por el Coronavirus Alivio y Seguridad Económica, Ley CARES.

Entre las últimas propuestas se encuentra la Ley de Apoyo Mensual a la Crisis Económica de la senadora Kamala Harris de California que, junto a Bernie Sanders y Ed Markey, planea enviar estímulos de $2 mil dólares al mes hasta enero de 2021 a personas con cierto nivel de ingresos para que puedan rehabilitar su economía durante la crisis. 



Lee: Segundo cheque de estímulo: ¿Qué es el pago de 'bajos recursos'?



Si bien este es el plan de los demócratas, el líder de la mayoría en el Senado, el republicano Mitch McConnell, aseveró que el segundo control de estímulo se limitará a un ingreso anual de $40 mil dólares.

¿Qué es y cuánto pagará la Ley de Apoyo Mensual a la Crisis Económica?

El equipo demócrata propone añadir a los pagos de $1,200 de la Ley CARES un pago de $2 mil por mes por medio de esta ley a personas que ganen hasta $120 mil dólares por año el pago mensual desaparecerá a partir de $100 mil por año. 

También tienen pensado ayudar a las parejas casadas en crisis que presentan una declaración conjunta anual con hasta $4 mil dólares. 

Estas parejas podrían recibir hasta $2 mil por cada dependiente, con la opción de agregar a un tercero. 

En caso de ser aprobado el proyecto, la legislación sería retroactiva a marzo de 2020, sería aplicable a todos los residentes estadounidenses sin importar si están o no afiliados al Seguro Social o si declaran impuestos. 

Los pagos durarían hasta tres meses después de que termine la pandemia por coronavirus. 

¿Cuándo llegará el segundo pago?

Luego de considerar varias propuestas de ley para ayudar a millones de estadounidenses afectados por el coronavirus, el Senado junto a la Cámara de Representantes del Congreso debe trabajar en un proyecto específico y tenerlo listo para el 31 de julio. 

Una vez que los miembros del Congreso tengan la resolución, la cámara baja entrará en un receso el 3 de agosto, una semana antes que los senadores para que el presidente Donald Trump lo revise y firme antes de septiembre de 2020. 



Visita: Estados que están extendiendo los beneficios de desempleo



Los bonos comenzarían a ser repartidos al menos dos semanas después de oficializar el proyecto, tal y como sucedió con la aprobación de la Ley CARES en marzo y la repartición que comenzó las primeras dos semanas de abril y se extendió hasta junio. 

¿De dónde proviene el dinero para los cheques de estímulo?

De acuerdo con The Wall Street Journal, los fondos para la repartición de los cheques de estímulo no sólo se trata del dinero que aportan los contribuyentes, sino que involucra la compra y venta de bonos del gobiernos que sirven como garantía de interés, es decir el dinero se recauda mediante préstamos. 

La tesorería se encarga de vender los bonos al sector público, privado y entidades extranjeras. Se obtiene el valor del bono más los intereses con las ventas.

 

No te pierdas:


¿Cómo el gobierno de EU emite los cheques de estímulo económico?

¿Quién podría recibir a el segundo cheque de estímulo económico de EU?

Cheque de estímulo: ¿De qué se trata el 'bono de regreso al trabajo'?

Lo que tienes que saber del cheque de estímulo económico de EU

Segundo cheque de estímulo: ¿Cuánto dinero se podrá recibir?

Hazard Pay: ¿Quién es elegible para el pago durante la pandemia?


 

No te pierdas de las últimas noticias de Vive Usa en Google News,  síguenos aquí
",,<bound method ArticlePage.url of <news_page_objects.ArticlePage object at 0x00E6AD00>>
"

Hay una diferencia de 31 mil 455 casos confirmados y 618 defunciones por Covid-19 entre lo que ha reportado el subsecretario de Prevención y Promoción de la Salud, Hugo López-Gatell, y las cifras que han generado las secretarías de Salud estatales, al corte del 19 de julio.

En una revisión se encontró que las entidades identificaron 31 mil 455 casos más de los que informó López-Gatell; es decir, mientras que con la información de las secretarías locales habría en el país 375 mil 679 casos de Covid-19, la cifra del gobierno federal es de 344 mil 224.

En el caso de las defunciones, las entidades suman 39 mil 802, mientras que la cifra presentada por el funcionario de la Secretaría de Salud (Ssa) es de 39 mil 184, lo que indica que las secretarías locales tuvieron conocimiento de 618 muertes más que la autoridad federal.

A través de la Dirección General de Comunicación Social de la Ssa, el doctor José Luis Alomía, titular de la Dirección General de Epidemiología, respondió que muchas entidades reportan como positivos los resultados de laboratorios privados.
 También lee: No hay intención de inhibir el diálogo con gobernadores: López-Gatell

“La fuente de información oficial es el Sisver [Sistema de Vigilancia Epidemiológica de Enfermedades Respiratorias], que además alimentan los estados. Hay muchas entidades que reportan los positivos de laboratorios privados sin saber si fueron casos”, respondió a pregunta expresa de EL UNIVERSAL.

Este diario comparó los datos del informe del 19 de julio de la Subsecretaría de Prevención y Promoción de la Salud con los de las secretarías estatales. En la mayoría de los casos, la información de las entidades fue actualizada en esa fecha, sólo Chiapas, Chihuahua, Coahuila, Morelos, Quintana Roo y San Luis Potosí lo hicieron el 20 de julio.

Al revisar uno por uno los informes estatales, se constató que 19 entidades contabilizan un mayor número de contagios que la Ssa. La diferencia en algunas es de miles: Nuevo León, 11 mil 965 casos más; Jalisco, 11 mil 756; Chihuahua, 2 mil 365; Guanajuato, mil 820, y Tamaulipas, mil 336.

Nueve entidades tienen menos contagios que lo reportado por la Federación, entre ellas, Chiapas (572), Coahuila (236) y Durango (204).
 

Sobre el número de fallecimientos, hubo 22 entidades que tienen más casos que la Ssa, con mayor diferencia en Guanajuato (274), Puebla (220), Yucatán (118) y Nuevo León (104); mientras que Chiapas (434), Coahuila (54), Morelos (cinco) y Sonora (dos) reportaron menos.

Al contrastar entidad por entidad con los datos de la Ssa, se constató que las únicas coincidencias en el número de contagios fueron Ciudad de México, con 62 mil 789; Estado de México, 46 mil 280; Oaxaca, 8 mil 704, y Tabasco, con 17 mil 371.
 También lee: MC acusa a López-Gatell de negligencia

En cuanto al número de defunciones, las coincidencias se dieron en Campeche, donde la autoridad federal y la local registran 357; Ciudad de México, con 8 mil 205; Hidalgo, 879; Jalisco, mil 233; Estado de México, 5 mil 665, y Tabasco, mil 611.

Las quejas sobre que la Ssa informa menos casos de los reportados por las entidades datan de hace varios meses.

El 19 de mayo, Salud de Yucatán reportó que tomó 119 muestras a locatarios de dos mercados en Mérida, de las cuales 47 salieron positivas; sin embargo, “solo cinco pueden incluirse dentro de la plataforma nacional debido a que así lo establecen las directrices del gobierno”.

La titular de la Secretaría de Salud de Tamaulipas, Gloria de Jesús Molina, denunció desde mayo que las cifras de casos positivos que está presentando el gobierno no contemplan los confirmados y reportados por los laboratorios privados.
 También lee: Pese a semáforo federal en rojo, Jalisco continúa con reapertura

El integrante de la Comisión Universitaria para la Atención de la Emergencia Coronavirus, Malaquías López, dijo que una diferencia tan grande es inexplicable. El punto más importante, consideró, es que entidades como Nuevo León, Tamaulipas y Jalisco están aplicando las pruebas rápidas que la Federación no da por válidas.

Consideró que ha faltado apertura por parte del gobierno federal para estandarizar la aplicación de los criterios, así como entender y aceptar las condiciones de las entidades. Los estados, dijo, no tienen ningún beneficio en inventar la existencia de casos, pero se puede pensar que la Federación sí, por querer dar la imagen de que el virus está domado.

“La autoridad federal tiene que entender las condiciones que prevalecen en las entidades.

“No podemos saber cuál es el verdadero nivel porque las autoridades se han negado a hacer pruebas. Encima de eso está esa conducta de: ‘Me lo das como lo quiero o te lo quito’. Es catastrófico, porque significa el riesgo de enfermar o de morir para muchas personas”.
 
",López-Gatell reporta menos contagios y decesos que los estados,<bound method ArticlePage.url of <news_page_objects.ArticlePage object at 0x01357FE8>>
